red_1,red_2,red_3,blue_1,blue_2,blue_3,win
1138,3216,3863,6934,4414,7323,blue
6060,4014,8005,1661,7327,9421,red
4276,4481,5835,6764,687,2375,red
3925,3749,3476,5136,3881,4738,red
4019,691,589,5012,4817,9172,red
399,3925,6764,9172,8768,4414,blue
8768,5817,4711,5285,6885,8533,red
3970,1388,3328,8521,9635,9084,blue
696,8,115,6995,8060,399,red
7327,3863,4276,4014,4414,3749,blue
691,3216,3476,6060,4481,1661,blue
4019,8533,6934,2375,589,5136,blue
7323,8005,3970,9172,5817,3925,tie
1138,6764,8,4711,8521,3328,red
9084,9421,5012,399,5835,3881,red
1388,5285,8768,8060,4817,696,red
5835,4711,8060,3749,4276,4019,blue
9635,6995,6885,687,115,4738,blue
6995,5136,3216,9084,589,1138,red
1388,696,1138,3476,3216,4738,red
3863,4481,4414,399,687,3749,red
1388,696,1138,589,6995,5817,blue
3749,687,399,589,6995,5817,blue
4481,4414,4276,9635,3970,5136,red
4738,3216,3476,589,6995,5817,blue
9084,115,4014,1138,696,1388,blue
399,3749,687,8005,3925,8,red
5136,3970,9635,3476,3216,4738,blue
8768,115,9084,8005,3925,8,red
4276,4481,4414,589,6995,5817,red
1388,696,1138,399,687,3749,blue
5817,6995,589,9084,115,8768,red
3950,6911,287,353,1796,354,blue
20,6911,287,354,353,6593,blue
3950,6911,287,353,1796,354,null
1796,6969,8871,20,48,3171,blue
48,358,6880,7718,353,9642,blue
395,2791,9016,6593,5016,3171,tie
1155,287,1797,4571,1884,8871,red
250,6401,2601,2875,354,810,blue
9713,1796,5298,3950,7504,369,red
5736,6463,6423,3204,7668,4122,red
3624,7759,263,7748,6969,6806,red
1797,353,1884,6911,7730,395,red
6401,20,358,6593,2265,250,red
8871,2791,287,6880,9713,369,red
353,2601,3004,1155,4122,6806,red
7504,48,5736,3204,2601,2875,red
1155,7748,3624,7668,7718,7318,red
7759,4571,6423,1796,3004,5016,blue
9642,810,5298,3171,263,4122,blue
354,9016,6969,3950,6806,6463,red
6401,6593,353,9713,2601,1884,red
369,7718,395,7668,7504,1155,blue
2875,358,5016,3624,8871,3004,blue
6423,810,20,48,5298,287,red
3171,6463,7730,7318,6880,3950,red
2791,6880,7504,6911,2265,358,red
4571,1796,7748,354,6911,3204,red
6806,9642,7759,5736,2265,2791,blue
6969,263,250,4122,1797,9016,blue
7504,6593,395,287,3624,358,blue
3004,1884,3950,8871,6463,48,red
369,3171,354,353,6423,3204,blue
810,7759,6911,20,7668,9642,blue
5016,4122,9713,6880,2265,7748,red
263,6806,5736,1155,6401,4571,red
7318,2601,6969,250,1796,2791,blue
9016,6401,7318,7730,287,9642,red
7730,9016,7718,5298,1797,2875,blue
1884,9642,3204,3004,369,810,red
395,354,4122,8871,7759,2265,red
7748,20,353,6463,7504,6401,red
7318,6911,5016,2601,358,5736,blue
6593,1155,5298,6969,2875,6880,red
9016,7668,263,48,7718,9713,blue
4571,1797,7730,6423,3624,2791,blue
3171,3950,1796,287,250,6806,red
369,7748,2601,20,395,6463,red
6463,810,7718,4571,5016,395,red
6593,8871,6880,7759,3204,6401,tie
353,5016,354,9642,7318,263,red
810,48,2791,3624,5736,9016,red
3004,2875,1155,9713,3171,6911,red
358,3950,1797,6423,4122,1796,blue
7718,250,5298,2265,6806,1884,red
287,4571,7504,6969,7668,7730,blue
263,395,3204,2791,7318,20,red
6401,6880,6911,48,369,3624,blue
3004,6463,6593,5736,1797,1796,blue
3950,6423,7668,1884,263,6593,blue
5298,1884,3171,7748,358,354,red
287,6969,3950,2601,7718,7759,red
6806,5016,7668,4122,7730,2875,red
7504,9713,8871,250,6423,9642,blue
353,1155,2265,810,9016,4571,red
1884,20,5736,6880,3624,3171,red
6463,287,7759,358,5298,263,blue
4122,3004,7718,354,2791,6401,blue
9642,6911,2875,6969,395,6423,red
250,3204,48,5016,7730,1155,red
2875,369,250,7759,7748,1797,blue
9713,6806,7318,1797,7504,810,blue
2265,4571,369,2601,3950,6593,blue
7748,8871,7668,9016,1796,353,blue
4122,5736,6911,7718,20,287,blue
395,250,6880,263,6423,3004,blue
5016,3204,6969,1797,9713,6401,red
6806,354,7730,358,6593,369,blue
8871,3171,2601,7668,5298,4571,red
2791,2875,7748,3950,353,810,blue
9016,1884,48,7759,7318,7504,red
5298,354,3624,3204,5736,9713,red
2265,9642,3624,1796,1155,6463,blue
7730,7318,2265,6911,3004,20,blue
5298,3171,263,250,1155,48,red
354,1796,353,287,6911,20,blue
5298,3171,263,7504,2601,5736,blue
354,1796,353,3004,2601,5736,red
1796,6593,353,1797,4122,810,red
5736,2601,7504,48,1155,250,red
5016,1884,6423,263,3171,5298,blue
358,9016,2791,20,287,6911,blue
810,4122,1797,250,1155,48,blue
5016,1884,6423,358,9016,2791,blue
354,1796,353,7504,2601,5736,red
5298,3171,263,287,6911,20,blue
5736,2601,7504,2791,9016,358,red
9576,876,3276,4539,3277,5172,red
9576,876,3276,4539,3277,5172,red
9576,876,3276,4539,3277,5172,null
4360,8586,7028,3134,9576,3058,blue
7048,3134,3313,3058,6453,4663,blue
3278,3276,9576,7028,5464,2177,red
6175,3042,3871,877,3926,4536,blue
5172,2654,4181,5576,8878,8586,red
3755,2508,4238,2450,4539,2883,blue
5638,2530,3026,7677,4239,5929,red
2549,6628,7235,2500,3277,8255,blue
9474,3298,8188,7257,4198,7048,blue
4674,9745,876,5658,4360,3275,red
4226,4663,5464,6146,3293,2177,blue
4536,6175,3313,3275,3278,4238,red
3278,8878,5172,3276,3042,6453,blue
877,4238,3058,9576,5638,3926,blue
6628,3871,2654,3313,4539,2530,blue
4536,4239,2549,3298,7235,7048,red
8188,5576,3026,2883,9745,2500,blue
8255,4360,2508,4663,3277,3293,blue
4198,7677,3134,3755,3275,4674,red
4181,8586,876,4226,6175,7257,red
2450,9474,6146,7028,5929,5658,red
4239,3298,3058,3042,5464,6628,red
3871,2450,3276,876,6453,5576,red
9576,2549,9745,5172,3871,2883,blue
3926,2177,7048,3313,3026,4360,red
2530,3278,4198,8878,4238,8255,red
7677,2500,4536,7257,876,4539,blue
6146,3134,3277,9474,2654,6175,red
3275,5576,2450,3293,4226,7235,red
4674,6453,7028,5638,2508,4663,blue
8586,5658,8188,3276,3755,877,blue
3298,2549,5929,4181,3313,9576,tie
4238,5464,4360,7677,8255,5172,blue
8255,2883,5464,2654,4674,877,blue
8878,6146,7257,3871,3058,9745,red
3293,3134,2530,3042,2883,3926,red
6628,4536,7028,3026,4226,4198,blue
4239,3275,5638,8586,2500,3276,red
3277,7048,3278,4539,877,5576,red
8188,4674,4663,6175,5929,2450,blue
2177,7235,2654,6453,3755,5658,blue
2508,4181,3042,876,9576,9474,blue
8255,3313,3926,7257,7028,7677,blue
2883,2530,4239,5172,4536,6146,red
6146,4198,3042,2549,7677,2177,red
3277,3026,3275,5464,7048,8878,red
