team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
5557,5.62,3.48,10.13,4.34,7.37,35.87,0.5728848114,0.2876033058,0.5775370582,0.1548893647,0.630453379
5586,7.15,4.22,14.9,5.49,7.99,46.99,0.7288481142,0.3487603306,0.8494868871,0.1959314775,0.6834901625
5801,6.99,3.27,4.51,17.65,9.24,46.89,0.7125382263,0.2702479339,0.2571265678,0.6299072091,0.7904191617
59,5.33,5.86,10.87,18.7,8.93,57.52,0.5433231397,0.4842975207,0.6197263398,0.6673804425,0.7639007699
5985,5.57,4.8,7.45,10.16,5.13,34.71,0.5677879715,0.3966942149,0.4247434436,0.3625981442,0.4388366125
5987,6.51,7.74,12.5,20.85,7.86,59.7,0.6636085627,0.6396694215,0.7126567845,0.744111349,0.6723695466
599,8,5.28,10.45,14.68,7.48,48.61,0.8154943935,0.4363636364,0.5957810718,0.5239114918,0.6398631309
67,6.25,10.57,16.27,20.75,7.37,65.64,0.6371049949,0.873553719,0.9275940707,0.7405424697,0.630453379
6702,3.8,3.8,7.74,4.5,3.96,22.81,0.3873598369,0.3140495868,0.441277081,0.1605995717,0.3387510693
6722,9.81,5.45,11.06,14.72,7.37,55.55,1,0.4504132231,0.6305587229,0.5253390435,0.630453379
702,4.03,1.65,8.24,4.11,5.39,24.01,0.4108053007,0.1363636364,0.4697833523,0.1466809422,0.4610778443
7258,6.7,3.79,10.77,6.04,8.26,40.38,0.6829765545,0.3132231405,0.6140250855,0.2155603141,0.7065868263
7451,5,6.68,10.27,9.92,5.69,38.83,0.5096839959,0.5520661157,0.5855188141,0.3540328337,0.4867408041
7461,5.41,9.17,12.07,18.56,8.54,56.49,0.5514780836,0.7578512397,0.6881413911,0.6623840114,0.7305389222
7657,7.28,6.35,8.32,16.13,7.32,47.34,0.7420998981,0.5247933884,0.4743443558,0.5756602427,0.626176219
8033,6.2,5.75,13.78,17.95,8.72,61,0.6320081549,0.4752066116,0.7856328392,0.6406138473,0.745936698
836,6.23,7.23,9.03,17.5,8.05,51.89,0.6350662589,0.5975206612,0.5148232611,0.6245538901,0.6886227545
9031,4.57,1.07,3.34,4.42,6.62,21.82,0.4658511723,0.08842975207,0.1904218928,0.1577444682,0.5662959795
9072,4.28,2.76,5.28,2.65,6.29,19.85,0.4362895005,0.2280991736,0.3010262258,0.09457530335,0.5380667237
9097,2.42,0.42,4.37,1.17,3.34,11.19,0.246687054,0.0347107438,0.2491448119,0.04175588865,0.2857142857
9105,6.71,4.85,7.54,16.91,7.98,47,0.6839959225,0.4008264463,0.4298745724,0.6034975018,0.6826347305
9120,2.67,0.61,4.64,2.6,5.91,17.99,0.2721712538,0.05041322314,0.2645381984,0.09279086367,0.505560308
9128,5.83,6.7,12.62,18.59,5.12,54.67,0.5942915392,0.5537190083,0.7194982896,0.6634546752,0.4379811805
9138,3.78,2.5,3.68,6.28,7.8,25.39,0.3853211009,0.2066115702,0.2098061574,0.2241256246,0.6672369547
948,6.9,5.82,15.48,9.08,8.31,50.35,0.7033639144,0.4809917355,0.8825541619,0.324054247,0.7108639863
968,5.35,4.17,9.15,8.47,7.95,38.41,0.5453618756,0.3446280992,0.5216647662,0.3022840828,0.6800684346
