team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
484,5.78,6.42,10.8,15.44,6.67,48.39,0.6262188516,0.4540311174,0.5421686747,0.4755158608,0.5609756098
4920,5.8,9.26,8.82,18.66,7.04,50.95,0.6283856988,0.6548797737,0.4427710843,0.574684324,0.5920941968
4976,5.28,6.89,9.94,18.93,8.04,52.21,0.5720476706,0.4872701556,0.4989959839,0.582999692,0.6761984861
5050,6.2,4.27,8.34,15.86,7.59,47.12,0.6717226436,0.301980198,0.4186746988,0.4884508777,0.6383515559
533,3.14,5.82,5.49,13.24,5.69,31.32,0.3401950163,0.4115983027,0.2756024096,0.4077610102,0.4785534062
5431,4.92,6.26,9.66,15.24,7.72,45.49,0.5330444204,0.4427157001,0.484939759,0.4693563289,0.6492851135
5434,7.66,5.77,8.59,12.92,5.42,41.81,0.8299024919,0.4080622348,0.4312248996,0.3979057592,0.4558452481
5654,4.36,4.98,9.04,16.47,6.8,49.61,0.4723726977,0.3521923621,0.453815261,0.50723745,0.5719091674
5883,4.99,2.6,9.9,2.64,10.11,31.91,0.5406283857,0.1838755304,0.4969879518,0.08130582076,0.850294365
6045,4.57,6.34,12.73,17.19,7.59,53.43,0.4951245937,0.4483734088,0.6390562249,0.5294117647,0.6383515559
6146,6.09,5.03,8.39,12.96,8.9,44.3,0.6598049837,0.35572843,0.421184739,0.3991376655,0.7485281749
668,4.97,3.55,2.98,11.62,9.44,33.09,0.5384615385,0.2510608204,0.1495983936,0.357868802,0.7939444912
6833,5.63,2.83,4.35,7.53,7.4,31.43,0.6099674973,0.2001414427,0.218373494,0.2319063751,0.622371741
6919,5.86,7.04,14.54,14.67,7.58,54.16,0.6348862405,0.4978783593,0.7299196787,0.4518016631,0.637510513
7157,4.47,8.06,15.75,21.54,8.33,65.6,0.4842903575,0.5700141443,0.7906626506,0.663381583,0.70058873
7460,5.34,3.05,11.48,11.93,6.78,46.13,0.5785482124,0.2157001414,0.5763052209,0.3674160764,0.5702270816
7748,5.63,5.52,11.41,2.63,2.42,25.89,0.6099674973,0.3903818953,0.5727911647,0.08099784416,0.2035323802
85,7.41,5.6,9.47,17.67,7.04,50.74,0.8028169014,0.396039604,0.4754016064,0.5441946412,0.5920941968
88,4.97,7.7,8.83,23.9,10.57,60.78,0.5384615385,0.5445544554,0.4432730924,0.7360640591,0.8889823381
8871,3.96,1.98,5.28,3.47,5.51,20.91,0.429035753,0.1400282885,0.265060241,0.106867878,0.4634146341
9037,2.72,1.04,6.22,3.63,6.8,22.89,0.2946912243,0.07355021216,0.312248996,0.1117955035,0.5719091674
