team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
5587,3.87,2.92,5.09,5.35,3.73,22.52,0.4484356895,0.2156573117,0.2512339585,0.2154651631,0.3596914176
5648,2.18,2.07,3.89,2.45,3.73,13,0.2526071842,0.1528803545,0.1920039487,0.09867096255,0.3596914176
5667,6.8,5.12,10.6,9.07,6.57,39.57,0.7879490151,0.3781388479,0.5231984205,0.3652839307,0.6335583414
5675,7.91,5.85,11.44,8.82,6.64,43.82,0.9165701043,0.4320531758,0.5646594274,0.3552154652,0.6403085824
5816,3.25,3.75,1.35,3.03,4.11,11.6,0.3765932793,0.276957164,0.06663376111,0.1220298027,0.3963355834
6024,3.91,5.15,7.7,5.68,5.71,27.36,0.4530706837,0.3803545052,0.38005923,0.2287555377,0.5506268081
610,8.19,5.9,10.55,13.79,8.36,49.05,0.9490150637,0.435745938,0.5207305035,0.5553765606,0.806171649
6357,7.62,5.06,11,9.97,7.39,43.66,0.8829663963,0.3737075332,0.5429417572,0.4015304068,0.712632594
6429,5.75,2.83,10.24,5.14,7.05,33.14,0.6662804171,0.2090103397,0.5054294176,0.207007652,0.6798457088
6517,4.3,3.24,10.28,2.92,6.62,28.78,0.4982618772,0.2392909897,0.5074037512,0.1175996778,0.6383799421
6721,4.7,5.46,8.07,7.84,6.21,32.78,0.5446118192,0.4032496307,0.3983218164,0.3157470801,0.5988428158
68,4.17,6.64,11.17,6.25,8.21,34.35,0.483198146,0.4903988183,0.5513326752,0.2517116391,0.7917068467
6832,4.03,0.02,5.19,2.02,6.87,20.71,0.4669756663,0.001477104874,0.2561697927,0.08135320177,0.662487946
7407,4.19,13.54,15.57,24.29,7.54,66.73,0.4855156431,1,0.7685093781,0.9782521144,0.7270973963
7457,6.47,7.72,10.77,24.83,7.19,63.78,0.7497103129,0.5701624815,0.5315893386,1,0.6933461909
772,5.64,2.21,10.08,4.55,7.42,35.5,0.6535341831,0.1632200886,0.4975320829,0.1832460733,0.7155255545
8019,7.08,7.04,10.37,10.4,8.46,43.99,0.8203939745,0.5199409158,0.511846002,0.4188481675,0.8158148505
8736,5.56,5.47,8.57,14.96,7.5,44.84,0.6442641947,0.4039881832,0.4230009872,0.6024969795,0.7232401157
876,7.43,8.55,12.21,17.97,7.98,57.85,0.8609501738,0.6314623338,0.6026653504,0.7237213049,0.7695274831
9071,3.27,5.19,7.73,4.92,6.65,25.89,0.3789107764,0.3833087149,0.3815399803,0.1981474023,0.6412729026
9082,4.56,3.76,10.51,1.89,6.36,26.62,0.5283893395,0.2776957164,0.5187561698,0.07611759968,0.6133076181
9118,4.64,2.42,8.46,2.47,7.96,28.42,0.5376593279,0.1787296898,0.4175715696,0.09947643979,0.7675988428
9182,6.33,4.1,7.8,6.06,6.57,33.4,0.7334878331,0.3028064993,0.3849950642,0.2440596053,0.6335583414
9202,6.46,1.48,6.91,2.42,7.2,26.34,0.7485515643,0.1093057607,0.3410661402,0.09746274668,0.6943105111
9260,5.36,5.98,9.09,15.38,2.65,41.66,0.6210892236,0.4416543575,0.4486673248,0.6194120016,0.2555448409
999,6.23,5.61,8.54,13.6,9.46,44.54,0.7219003476,0.4143279173,0.4215202369,0.5477245268,0.912246866
