red_1,red_2,red_3,blue_1,blue_2,blue_3,win
702,9031,5427,1902,599,3042,red
4381,2771,2337,7197,103,3536,blue
1114,9128,6702,7451,1701,4009,red
7258,2194,4571,461,4786,3476,blue
5557,1690,3005,5801,8033,6800,red
5199,9120,836,5166,9138,1678,blue
3476,2881,3042,9120,401,2910,red
9097,1318,3467,9105,2383,2630,blue
8013,5586,3996,157,67,1165,red
1622,4481,5987,401,7461,2834,red
5010,7197,4451,2714,1708,968,red
3229,2881,9072,4009,702,4422,blue
2614,7258,7451,5427,2830,2771,blue
6702,4415,7657,3042,2551,948,blue
5801,5199,2194,5985,3539,4381,blue
9128,3536,9097,3534,9120,1902,red
9138,67,103,2630,3476,1690,red
4481,1690,599,59,9097,4009,red
4786,8033,5586,2910,2337,2383,red
1701,157,5557,1678,1591,59,blue
1318,3603,8013,4571,3005,599,red
5166,3467,9105,6722,2834,3996,blue
1165,1622,836,6800,461,1114,blue
5427,4422,2551,9031,5199,7461,blue
2830,968,4481,4381,702,9128,red
2194,4009,103,9120,2614,2714,red
5010,3536,3539,9097,6702,2910,red
7451,4415,4786,5586,2881,5557,red
9031,3005,4786,103,4381,4451,blue
1708,5985,3005,2383,59,4571,blue
157,401,7258,1690,3603,7657,blue
599,2630,1165,2337,1678,6722,blue
3534,3042,9072,1591,3996,1318,blue
6800,1902,4451,9105,3229,9138,red
3467,2771,461,5987,5166,67,blue
1114,8013,1622,8033,7197,9031,red
5801,2834,3476,836,948,1701,red
4415,5010,103,4481,5427,5199,red
2383,7451,4381,401,2551,2614,red
3539,1114,2834,1902,5557,2551,red
6722,4571,2714,9128,5586,1690,blue
3996,157,1708,2830,4009,3536,blue
599,2194,2910,9072,5557,9138,red
1678,3539,3467,5985,4786,3229,red
1622,9120,702,7258,67,1318,blue
4422,1902,1701,5987,3005,7197,blue
59,6800,9031,6702,3534,2337,blue
4451,948,1591,5166,8033,7461,red
836,968,461,2881,8013,2630,blue
3042,7657,5801,2771,9105,1114,blue
5199,3467,948,461,157,9128,red
3476,1165,3603,2834,9097,1708,red
3536,599,401,2194,5985,2830,red
2551,9128,1318,4786,5010,67,blue
3996,7451,9138,4481,3539,3005,blue
9031,1701,6722,2910,4415,6800,blue
9072,5166,157,7197,1622,5427,blue
103,7461,6702,1902,968,4571,red
1591,2337,9120,2614,836,3467,tie
2834,4422,2771,8013,4451,1678,blue
1165,3534,1690,948,2383,2881,red
7461,948,2910,8033,1690,2630,blue
3476,461,1678,3005,836,1114,blue
2630,1690,8033,1591,2714,4481,red
3476,461,1678,8033,1690,2630,red
3476,461,1678,8033,1690,2630,red
3467,2614,1318,6800,6722,67,blue
2337,836,3005,1591,3539,4481,red
7461,103,2910,401,4451,4381,red
1690,7197,8033,1318,2614,3467,red
4481,2714,1591,401,5987,4381,red
3476,461,1678,6800,6722,67,red
1114,836,3005,2910,103,7461,red
67,6722,6800,1591,2714,4481,blue
