team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
4293,5.03,4.92,8.02,10.69,6.98,37.27,0.6217552534,0.3954983923,0.5021916093,0.4341998375,0.6187943262
4342,5.22,6.48,9.38,20.22,7.79,53.43,0.6452410383,0.5209003215,0.5873512837,0.8212835093,0.6906028369
4607,5.47,7.42,10.53,20.61,9.83,59.29,0.6761433869,0.5964630225,0.6593613024,0.8371242892,0.8714539007
4624,7.05,2.69,12.15,3.84,9.23,40.94,0.8714462299,0.2162379421,0.7608015028,0.1559707555,0.8182624113
4635,4.96,8.62,8.61,21.29,7.7,53.94,0.6131025958,0.692926045,0.5391358798,0.8647441105,0.6826241135
4776,6.56,6.88,9.59,9.37,8.94,41.62,0.8108776267,0.5530546624,0.6005009393,0.3805848903,0.7925531915
484,5.78,6.42,10.8,15.44,6.67,48.39,0.7144622991,0.5160771704,0.6762680025,0.6271324127,0.5913120567
4920,5.8,9.26,8.82,18.66,7.04,50.95,0.716934487,0.7443729904,0.5522855354,0.7579203899,0.6241134752
4976,5.28,6.89,9.94,18.93,8.04,52.21,0.652657602,0.5538585209,0.6224170319,0.7688870837,0.7127659574
5050,6.2,4.27,8.34,15.86,7.59,47.12,0.7663782447,0.3432475884,0.5222291797,0.6441917141,0.6728723404
533,3.14,5.82,5.49,13.24,5.69,31.32,0.3881334981,0.4678456592,0.3437695679,0.5377741673,0.5044326241
5431,4.92,6.26,9.66,15.24,7.72,45.49,0.60815822,0.5032154341,0.6048841578,0.6190089358,0.6843971631
5434,7.66,5.77,8.59,12.92,5.42,41.81,0.9468479604,0.4638263666,0.5378835316,0.5247766044,0.4804964539
5654,4.36,4.98,9.04,16.47,6.8,49.61,0.5389369592,0.4003215434,0.5660613651,0.6689683184,0.6028368794
5883,4.99,2.6,9.9,2.64,10.11,31.91,0.6168108776,0.2090032154,0.6199123356,0.1072298944,0.8962765957
6045,4.57,6.34,12.73,17.19,7.59,53.43,0.564894932,0.5096463023,0.7971195992,0.6982128351,0.6728723404
6146,6.09,5.03,8.39,12.96,8.9,44.3,0.7527812114,0.404340836,0.5253600501,0.5264012998,0.7890070922
668,4.97,3.55,2.98,11.62,9.44,33.09,0.6143386897,0.2853697749,0.1865998748,0.4719740049,0.8368794326
6833,5.63,2.83,4.35,7.53,7.4,31.43,0.69592089,0.2274919614,0.2723857232,0.3058489033,0.6560283688
6919,5.86,7.04,14.54,14.67,7.58,54.16,0.7243510507,0.5659163987,0.9104571071,0.5958570268,0.6719858156
7157,4.47,8.06,15.75,21.54,8.33,65.6,0.5525339926,0.6479099678,0.9862241703,0.8748984565,0.7384751773
7460,5.34,3.05,11.48,11.93,6.78,46.13,0.6600741656,0.2451768489,0.7188478397,0.484565394,0.6010638298
7748,5.63,5.52,11.41,2.63,2.42,25.89,0.69592089,0.4437299035,0.7144646212,0.1068237206,0.2145390071
85,7.41,5.6,9.47,17.67,7.04,50.74,0.9159456119,0.4501607717,0.5929868503,0.7177091795,0.6241134752
88,4.97,7.7,8.83,23.9,10.57,60.78,0.6143386897,0.6189710611,0.5529117095,0.9707554833,0.9370567376
8871,3.96,1.98,5.28,3.47,5.51,20.91,0.4894932015,0.1591639871,0.3306199123,0.1409423233,0.4884751773
9037,2.72,1.04,6.22,3.63,6.8,22.89,0.3362175525,0.08360128617,0.3894802755,0.1474411048,0.6028368794
9068,5.04,4.22,8.21,4.37,5.62,25.53,0.6229913473,0.3392282958,0.5140889167,0.1774979691,0.4982269504
9092,4.8,5.33,6.8,10.66,7.28,33.81,0.5933250927,0.4284565916,0.4257983719,0.432981316,0.6453900709
9152,3.4,1.12,6.15,2.55,5.6,20.78,0.4202719407,0.09003215434,0.385097057,0.1035743298,0.4964539007
9176,6.45,4.83,7.26,15.08,7.4,43.52,0.7972805933,0.3882636656,0.4546023795,0.6125101543,0.6560283688
9213,4.9,0.79,7.51,1.94,6.79,25.58,0.6056860321,0.06350482315,0.4702567314,0.07879772543,0.6019503546
9312,5.34,5.83,9.57,21.55,8.66,58.03,0.6600741656,0.4686495177,0.5992485911,0.8753046304,0.7677304965
971,3.55,12.44,12.26,21.04,8.03,57.13,0.4388133498,1,0.7676894177,0.8545897644,0.7118794326
