team,auto_charge_station_points,auto_grid_points,cube_points,cone_points,endgame_charge_station_points,rank
4499,6.9,9.85,10.42,20.97,8.24,1
2240,7.44,3.25,6.71,17.02,7.57,2
4550,9.33,2.29,8.81,2.7,6.9,3
2122,4.51,5.25,6.78,12.17,8.45,4
5851,2.36,5.53,6.3,11.85,8.43,5
4068,7.31,3.7,8.03,6.64,6.59,6
8,6.73,5.05,11.43,4.82,6.79,7
192,7.2,5.76,11.2,4.38,5.11,8
3374,7.38,1.46,3.69,9.91,7.52,9
4585,2.32,-0.34,5.01,1.21,6.32,10
1619,8.47,6.37,11.62,15.31,10.72,1
6424,5.58,4.59,4.47,20.63,6.71,2
2352,7.73,5.37,8.38,12.1,7.04,3
3660,4.54,3.13,6.76,4.69,9.4,4
1209,3.74,2.23,8.53,2.2,7.58,5
1108,5.99,0.12,3.89,7.75,6.31,6
5889,4.33,4.47,6.03,10.69,7.2,7
1561,3.1,4.45,11.66,3.45,9.27,8
3931,2.62,2.34,9.43,1.52,8.33,9
1410,7.7,4.23,9.93,3.42,7.31,10
179,8.43,7.88,8.07,20.05,9.64,1
8841,6.75,0.44,5.85,8.68,7.54,2
180,8.71,5.53,7.87,15.65,8.1,3
5472,9.56,4.44,9.59,17.8,8.2,4
3932,2.98,5.25,6.67,13.41,5.74,5
6722,8.01,0.58,5.56,9.05,6.62,6
8817,4.29,4.77,6.97,10.06,6.54,7
86,7.88,5.82,5.19,11.82,5.97,8
5557,5.04,1.28,6.59,1.72,8.51,9
4118,4.89,4.85,8.57,13.66,8.51,10
930,6.6,6.86,10.57,20.22,8.35,1
537,4.95,5.18,10.39,9.16,11.42,2
1732,5.27,7.89,9.29,18.32,8.37,3
2202,9.49,4.25,8.31,10.85,9.73,4
6421,8.29,4.7,8.47,9.17,7.63,5
4786,8.11,6.31,10.22,14.46,9.19,6
6017,3.15,3.08,9.91,4.23,8.52,7
706,6.1,5.26,7.33,14.52,7.89,8
8096,5.1,6.55,10.14,14.77,6.14,9
6574,6.75,6.72,8.06,11.67,8.22,10
7157,5.28,7.64,13.31,23.24,8.42,1
4414,6.76,6.16,13.86,19.45,8.54,2
3476,6.64,8.67,10.91,19.87,8.06,3
9084,6.73,6.22,8.85,12.41,7.86,4
2073,8.08,6.74,15.44,7.6,7.54,5
4415,9.47,7.82,10.07,18.11,8.38,6
2659,4.84,8.17,11.88,16.58,6.39,7
4698,6.16,3.09,8.85,9.89,7.42,8
687,4.28,5.61,8.62,19.69,7.63,9
3512,5.26,6.3,12.09,14.52,8.78,10
6838,5.47,5.23,8.68,12.07,8.08,1
6985,6.47,5.05,9.92,7,8.11,2
7444,4.87,5.42,10.03,11.82,7.24,3
9233,3.54,1.75,6.76,0.27,7.83,4
6989,2.99,3.29,9.1,0.79,6.29,5
9024,3.38,2.67,6.5,3.47,6.39,6
7758,2.49,4.82,11.51,4.39,3.29,7
6014,2.38,4.28,8.01,-0.34,7.51,8
8743,2.87,2.51,3.97,6.51,4.04,9
9001,7.47,3.96,7.88,2.82,5.01,10
1987,8.54,9.06,14.2,20.47,8.22,1
4256,7.44,3.82,12.1,10.38,7.72,2
4213,8.45,5.93,7.34,14.25,10.29,3
1710,5.77,3.39,11.83,6.95,6.41,4
1785,4.42,5.43,9.26,13.51,10.57,5
5889,3.96,5.9,9.43,14.2,5.63,6
5801,6.31,3.27,5.5,17.18,8.99,7
7563,5.59,5.74,6.27,15.08,8.16,8
1982,7.72,4.12,7.66,6.39,6.51,9
1825,7.31,4.46,5.24,11.12,7.45,10
1756,8.16,6.66,10.11,20.87,8.87,1
27,7.64,6.07,9.65,12.67,8.63,2
5484,8.41,4.91,7.02,9.29,6.17,3
4143,7.95,5.56,10.21,19.47,7.97,4
3539,7.34,5.96,9.39,15.43,8.3,5
1736,4.8,5.19,7.43,17.98,6.52,6
4213,7.46,4.83,5.09,10.81,9.61,7
234,8.31,5.63,9.02,13.18,6.67,8
2481,6.91,7.67,7.45,13.48,9.11,9
4645,3.63,5.51,7.28,9.52,7.52,10
