red_1,red_2,red_3,blue_1,blue_2,blue_3,win
5271,5339,4182,4230,2987,4703,blue
4166,3297,2491,3206,1792,2264,blue
2855,3082,5913,3297,1714,3023,blue
2129,8122,3100,8700,4623,6574,red
4786,2227,3130,4166,8803,6047,red
6147,3212,2512,1716,2574,3883,red
2472,6132,6758,7273,2491,2846,red
1792,1806,5913,4703,6045,5339,red
2987,4182,3100,2501,2264,2855,blue
6419,2129,3418,3130,8803,2062,red
2039,3883,3297,8700,2227,2169,red
7530,4166,5232,4623,7619,3082,red
6574,3883,5339,7273,3418,2574,blue
2491,4229,1714,8122,2175,2512,red
2472,1716,4230,3206,6574,5720,red
3212,6047,4786,3023,5271,5275,blue
6147,2574,1792,6044,6419,8700,red
2227,3082,5271,5720,3130,2846,blue
5232,6147,4230,2472,4786,5275,red
1714,6574,6045,2129,6758,2491,blue
5232,6147,4230,8122,2501,2062,red
1714,6574,6045,4230,6147,5232,blue
1714,6574,6045,2846,2855,5913,red
3130,3082,3297,2472,4786,5275,red
2129,2491,6758,2264,2987,3206,red
5232,6147,4230,8122,2501,2062,red
5913,2855,2846,2472,4786,5275,blue
3206,2987,2264,8122,2501,2062,blue
1714,6574,6045,3297,3023,3130,red
2129,6758,2491,4230,6147,5232,red
3130,3082,3297,8122,2501,2062,blue
340,144,4145,3504,4611,325,blue
340,144,4145,3504,4611,325,blue
340,144,4145,3504,4611,325,null
1126,9475,2172,8393,695,3201,blue
2656,2053,1559,8393,3484,2614,blue
2013,3015,2252,1787,144,5740,blue
7274,8705,2638,4991,3504,3181,blue
3492,9139,4027,9415,2228,2641,red
9475,379,2399,4611,6834,2172,blue
8096,340,325,9004,1708,695,red
3954,4145,7515,1126,3201,4050,blue
4121,677,8393,9022,4150,578,red
2013,5413,117,1559,2641,3504,blue
325,2252,4611,8705,6834,3492,red
4991,2013,4050,578,2656,144,red
9415,9004,3015,4145,2399,1126,blue
4027,1787,2053,2638,677,9475,red
2614,4991,5740,2172,3201,4121,blue
4150,144,695,7515,3260,2228,red
2656,9022,379,3954,8096,1708,red
340,4050,9139,3181,7274,3484,red
4121,4991,8705,5413,9004,3492,red
325,8393,6834,677,9415,144,red
8096,4150,3260,1126,4027,2013,blue
379,1787,3201,2228,117,7274,red
2614,4145,9022,1787,3260,325,blue
695,3484,2656,4611,2638,4145,blue
9475,2614,9139,3954,9022,340,blue
2252,1708,1559,578,4050,2399,red
2172,2641,7515,3504,3015,2053,blue
2228,5740,6834,3181,4121,117,blue
3260,2013,2656,3492,4611,9475,blue
7274,3201,9415,5413,3484,1708,red
9004,2638,3954,1559,2172,1787,blue
3504,695,2614,379,9139,2252,blue
144,3181,9022,2053,2399,4150,tie
3484,3954,3015,117,4150,8705,red
2641,8096,8393,4050,8705,5740,red
578,7515,4991,4145,4027,325,blue
3015,117,1126,677,340,4611,red
2638,2656,1787,9139,9415,4150,red
6834,3954,2399,3504,8393,5413,red
3484,9022,8705,4027,695,2172,blue
5740,1126,7515,2614,3492,7274,red
3201,578,677,8096,144,9004,red
1708,3181,2641,9475,2252,3260,blue
2053,4145,4121,379,340,2013,blue
5740,4611,5413,9139,2053,2228,blue
2228,1559,4050,4991,325,3015,blue
144,3504,4611,9415,2614,8096,red
4027,3260,677,2172,5740,2252,tie
7274,4121,578,695,2053,3954,blue
4145,3492,8393,2638,117,1708,blue
4050,379,4150,8705,9475,9004,red
3201,325,5413,2656,3015,3181,red
2013,2228,3484,2399,7515,9022,blue
2641,1787,6834,340,1126,4991,red
1559,9475,4145,9139,7274,8096,red
3492,3181,9415,677,1559,379,blue
3260,5740,695,4050,3954,9415,red
3181,5413,2638,144,2614,2013,blue
9004,2172,340,2252,2656,2228,blue
9022,3492,2053,3015,6834,3201,blue
1708,4991,9139,7515,677,117,red
8705,578,3504,3484,1126,1787,blue
4121,4611,379,8393,4027,1559,red
2399,2641,7274,4150,325,2656,blue
117,2172,3492,5413,4050,8096,blue
2053,9415,1126,9022,2252,4991,blue
7515,8096,4121,2252,2638,2641,red
1787,7515,9004,4611,8393,3181,red
4150,2228,2614,6834,1708,4145,red
325,3504,3484,5740,4121,9475,red
3015,9139,2638,3260,379,578,red
3201,1559,144,340,8705,4027,red
695,2399,677,2641,2013,3954,red
1708,7274,4027,6834,9004,3504,red
117,578,340,2399,5413,3260,blue
4027,3201,1126,695,2252,1708,blue
340,144,4145,3504,4611,325,red
1708,2252,695,379,2013,2614,blue
325,4611,3504,379,2013,2614,red
3015,1559,1787,4145,144,340,blue
2614,2013,379,695,2252,1708,red
325,4611,3504,4991,4121,4150,red
4027,3201,1126,2399,2228,6834,red
3015,2053,1787,695,2252,3260,blue
4150,4121,4991,2399,2228,6834,red
340,144,4145,379,2013,2614,red
325,4611,3504,4027,1126,3201,red
2614,2013,379,4991,4121,4150,red
3374,3245,7426,5851,1339,1410,blue
3374,3245,7426,5851,1339,1410,blue
3374,3245,7426,5851,1339,1410,null
3200,8087,4944,5933,9423,159,red
4598,6560,3405,9044,3243,8885,red
8174,7436,1619,7634,9423,3006,red
1891,7895,4068,2122,2240,3200,red
4183,3009,3374,4585,3501,159,blue
2486,1828,9037,5071,9138,3166,red
5933,1410,6400,1569,4944,7906,red
5851,2240,8885,7634,4348,3501,red
3405,5071,3006,4068,8087,4183,red
1339,6400,9037,3374,8174,3243,red
9423,7906,9138,2594,2122,4598,blue
8839,4598,9044,3009,7634,3288,blue
9044,7426,5933,4585,2486,1619,red
1569,3166,8839,6411,1828,3200,red
159,7436,6560,4348,4944,7895,blue
3288,1410,5851,3009,3245,1891,red
7906,4183,1339,3006,9044,4585,red
6411,8885,8087,3243,6400,9138,red
3245,3405,3166,7436,9423,1891,red
2240,3288,5933,159,3374,2594,red
2122,5071,3009,1619,1569,6560,red
4598,7426,4068,8839,9037,7895,red
5071,1891,4183,8885,1339,1569,blue
1410,2486,4348,5851,3200,8174,red
1339,7634,1828,4944,3501,3009,blue
3243,3006,3288,6560,5933,5071,blue
4348,3405,1891,7906,2486,2594,blue
1410,3245,7895,2240,9037,8087,red
6400,2122,7436,4585,8174,7426,red
4944,4068,159,3166,8885,3501,red
4598,9138,3374,7634,1569,4183,red
1619,5851,9044,9423,8839,1828,red
3200,1339,2486,6411,3288,3405,red
3245,3374,4585,2486,6560,4068,blue
9037,3245,8174,6560,4183,7895,blue
8839,4585,4348,1828,4598,1410,blue
9044,159,6411,2122,4068,5851,blue
5071,2594,8885,7436,3200,7426,blue
9138,3006,2240,3166,3009,6400,red
3374,4944,7634,1891,1619,7906,blue
8087,3243,9423,3501,1569,5933,blue
7436,3245,3288,3006,2122,1828,blue
2594,1339,9044,3374,9037,3166,red
1569,4585,5071,7895,9138,5851,blue
9138,1828,3405,7426,1410,2240,blue
7634,7426,3243,159,1410,3200,red
8885,3009,7906,6411,5933,1619,blue
3405,8087,3501,1891,8174,8839,red
4944,6560,2240,4183,4598,2486,red
6400,9423,1569,4068,4348,1339,blue
1410,8174,8087,1828,3374,8885,red
6560,4585,2122,2594,3501,2240,blue
9138,5933,4944,7426,5851,3245,blue
4598,1891,7634,5071,6411,3243,red
2486,9044,9423,7906,7895,7436,blue
3006,6400,3501,7895,2594,6411,red
4183,159,3405,1619,8839,6400,tie
4348,3009,3200,4068,3166,3006,blue
9037,6411,1569,3288,4944,4585,red
7895,3374,2486,8885,7634,1410,blue
9423,5071,1339,2240,159,8839,blue
1828,3166,4183,2122,1891,5933,blue
2594,5851,9037,8087,7436,4598,blue
3245,3501,6560,9044,3200,6400,red
7426,3006,3009,3243,3405,7906,red
3288,1619,4348,8174,9138,4068,blue
1619,3243,2122,9037,7436,4348,red
1828,5933,5851,6400,7634,6560,red
1569,4598,3243,2486,8839,3245,blue
7895,159,3006,8885,4585,1891,red
3501,9037,3288,9423,4348,7426,blue
3200,7906,3374,9138,1339,2122,blue
4944,6411,8174,2240,9044,5071,blue
3009,4068,1410,7436,4183,2594,red
8087,3166,4585,3405,1619,7634,blue
159,6400,8174,9037,3200,4598,blue
3501,8839,9138,3006,8885,7436,red
7906,5851,8839,8174,3288,3166,blue
4348,7906,9044,3245,8087,5071,blue
3374,1891,7426,5851,4183,9423,red
4068,2594,1828,3243,2486,4944,red
3166,2122,6411,1339,6560,1410,blue
3009,2240,1619,3288,7895,1569,red
5933,7906,7634,3405,4068,9037,blue
3166,7426,2486,8087,3006,3374,red
3200,8885,9423,4585,1828,3009,tie
1891,1569,159,6560,9044,9138,blue
1410,1619,2594,3501,5071,4598,red
7426,2594,8087,1339,6411,3245,red
5851,3243,7436,4183,2240,6411,blue
8839,3288,2122,6400,3405,4944,red
8174,7895,1339,5933,4348,3245,blue
3006,4944,3009,3200,1619,2240,red
8839,6560,3501,7426,3245,3374,blue
3006,4944,3009,5851,5933,1410,blue
3501,6560,8839,5851,1339,1410,blue
4068,2122,1891,9037,7895,7436,red
2240,1619,3200,8839,6560,3501,blue
3374,3245,7426,2594,4183,4598,red
1410,5851,1339,3009,4944,3006,blue
9037,7895,7436,3200,1619,2240,blue
4598,4183,2594,5851,1339,1410,blue
4068,2122,1891,8839,6560,3501,blue
3374,3245,7426,3009,4944,3006,red
4068,2122,1891,5851,1339,1410,blue
8780,8613,6941,8127,7632,8806,red
8780,8613,6941,8127,7632,8806,red
8780,8613,6941,8127,7632,8806,null
6436,6941,9124,7636,6232,6014,blue
